date,Regroupement,Croisement,Nom,cas_cum_lab_n,cas_cum_epi_n,cases,cas_cum_tot_t,cas_quo_tot_t,cas_quo_lab_n,cas_quo_epi_n,new_cases,active_cases,act_cum_tot_t,cas_quo_tot_m,cas_quo_tot_tm,recovered,new_recovered,deaths,dec_cum_tot_t,dec_quo_tot_t,deaths_chsld,deaths_psr,deaths_home,deaths_other,new_deaths,dec_quo_chs_n,dec_quo_rpa_n,dec_quo_dom_n,dec_quo_aut_n,dec_quo_tot_m,dec_quo_tot_tm,hos_cum_reg_n,hos_cum_si_n,hos_cum_tot_n,hos_cum_tot_t,hos_quo_tot_t,hos_quo_reg_n,hos_quo_si_n,hos_quo_tot_n,hos_quo_tot_m,psi_cum_tes_n,psi_cum_pos_n,negative_tests,psi_quo_pos_n,new_negative_tests,psi_quo_tes_n,psi_quo_pos_t,psi_cum_adm_n,hos_act_reg_n,hos_act_si_n,hos_act_tot_n,psi_heb_pos_t,hos_quo_si_t
2020-12-29,Région,RSS99,Ensemble du Québec,191280.0,8539.0,199819,2340.05,18.43,1553.0,21.0,1574,21611,253.08,na,na,168253,1660,8078,94.6,0.12,4897,1557,1211,413,10,4.0,1.0,3.0,2.0,na,na,12109.0,2341.0,14450.0,169.22,0.0,0.0,0.0,0.0,na,2498341.0,190314.0,2308027.0,0.0,0,0.0,na,na,na,na,na,na,na
2020-12-30,Région,RSS99,Ensemble du Québec,194074.0,8564.0,202638,2373.07,18.2,1535.0,19.0,1554,22367,261.94,na,na,170142,1700,8135,95.27,0.26,4924,1570,1224,417,22,11.0,6.0,3.0,2.0,na,na,12300.0,2377.0,14677.0,171.88,0.0,0.0,0.0,0.0,na,2507746.0,193228.0,2314518.0,0.0,0,0.0,na,na,na,na,na,na,na
2021-01-03,Région,RSS99,Ensemble du Québec,204201.0,8641.0,212842,2477.25,14.11,1198.0,14.0,1212,23264,270.77,na,na,179331,1780,8284,96.42,0.1,4980,1609,1269,426,9,3.0,3.0,2.0,1.0,na,na,12658.0,2446.0,15104.0,175.79,0.0,0.0,0.0,0.0,na,2539844.0,202970.0,2336874.0,0.0,0,0.0,na,na,na,na,na,na,na
2021-01-04,Région,RSS99,Ensemble du Québec,206688.0,8662.0,215350,2506.44,17.88,1517.0,19.0,1536,24313,282.98,na,na,180700,1410,8349,97.17,0.2,5005,1619,1295,430,17,8.0,3.0,5.0,1.0,na,na,12796.0,2468.0,15264.0,177.66,0.0,0.0,0.0,0.0,na,2547277.0,205287.0,2341990.0,0.0,0,0.0,na,na,na,na,na,na,na
2021-01-05,Région,RSS99,Ensemble du Québec,209311.0,8678.0,217989,2537.16,18.68,1592.0,13.0,1605,24603,286.35,na,na,182956,2020,8395,97.71,0.15,5021,1636,1307,431,13,9.0,3.0,1.0,0.0,na,na,12918.0,2488.0,15406.0,179.31,0.0,0.0,0.0,0.0,na,2555708.0,207704.0,2348004.0,0.0,0,0.0,na,na,na,na,na,na,na
2021-01-06,Région,RSS99,Ensemble du Québec,211819.0,8687.0,220506,2566.45,18.26,1566.0,3.0,1569,24955,290.45,na,na,185014,1944,8468,98.56,0.19,5052,1660,1323,433,16,6.0,5.0,4.0,1.0,na,na,13083.0,2515.0,15598.0,181.54,0.0,0.0,0.0,0.0,na,2565557.0,210294.0,2355263.0,0.0,0,0.0,na,na,na,na,na,na,na
2021-01-07,Région,RSS99,Ensemble du Québec,214402.0,8688.0,223090,2596.53,15.9,1360.0,6.0,1366,24553,285.77,na,na,187898,2767,8513,99.08,0.16,5063,1673,1343,434,14,4.0,2.0,8.0,0.0,na,na,13180.0,2538.0,15718.0,182.94,0.0,0.0,0.0,0.0,na,2575548.0,212761.0,2362787.0,0.0,0,0.0,na,na,na,na,na,na,na
2021-01-08,Région,RSS99,Ensemble du Québec,217507.0,8702.0,226209,2632.83,18.34,1565.0,11.0,1576,24589,286.19,na,na,190953,2965,8555,99.57,0.14,5077,1687,1355,436,12,6.0,3.0,2.0,1.0,na,na,13324.0,2563.0,15887.0,184.91,0.0,0.0,0.0,0.0,na,2585796.0,215257.0,2370539.0,0.0,0,0.0,na,na,na,na,na,na,na
2021-01-09,Région,RSS99,Ensemble du Québec,220081.0,8713.0,228794,2662.91,16.13,1374.0,12.0,1386,24454,284.62,na,na,193605,2623,8594,100.02,0.16,5091,1697,1364,442,14,6.0,2.0,4.0,2.0,na,na,13445.0,2578.0,16023.0,186.49,0.0,0.0,0.0,0.0,na,2596018.0,217716.0,2378302.0,0.0,0,0.0,na,na,na,na,na,na,na
2021-01-10,Région,RSS99,Ensemble du Québec,221930.0,8731.0,230661,2684.64,14.21,1210.0,11.0,1221,23996,279.29,na,na,195885,2174,8642,100.58,0.21,5101,1714,1381,446,18,5.0,5.0,7.0,1.0,na,na,13578.0,2592.0,16170.0,188.2,0.0,0.0,0.0,0.0,na,2603741.0,219495.0,2384246.0,0.0,0,0.0,na,na,na,na,na,na,na
2021-01-11,Région,RSS99,Ensemble du Québec,223856.0,8740.0,232596,2707.17,13.23,1126.0,11.0,1137,23903,278.2,na,na,197884,1993,8685,101.08,0.15,5121,1718,1397,449,13,6.0,1.0,5.0,1.0,na,na,13680.0,2618.0,16298.0,189.69,0.0,0.0,0.0,0.0,na,2611556.0,221492.0,2390064.0,0.0,0,0.0,na,na,na,na,na,na,na
