date,mtl_doses,qc_doses,mtl_percent_vaccinated,qc_percent_vaccinated
2020-12-16,1155,2582,0.027957206835403942,0.015118737127554712
2020-12-17,1347,3305,0.03260463862102953,0.019352217740731342
2020-12-18,1531,4020,0.03705842741558739,0.02353885486164599
2020-12-19,1646,4716,0.03984204541218605,0.02761423868843843
2020-12-20,1761,4831,0.04262566340878471,0.02828761388970442
2020-12-21,2110,5273,0.05107333889411456,0.03087571683717893
2020-12-22,2908,7229,0.07038922725312093,0.04232895069523355
2020-12-23,3666,11171,0.08873690065678862,0.0654110815073252
2020-12-26,4143,17316,0.1002828639992022,0.10139273900106019
2020-12-27,4353,19643,0.10536599251473018,0.11501833981276421
2020-12-28,5153,22500,0.12473029162150347,0.13174732198682457
2020-12-29,6053,25315,0.14651512811662343,0.1482303758265095
2020-12-30,6857,29250,0.16597624871893057,0.17127151858287193
